query_drug,similar_drug,similarity
DB00149,DB04185,0.5
DB00150,DB03225,1.0
DB00150,DB04537,0.7777777777777778
DB00150,DB07060,0.7027027027027027
DB00150,DB02959,0.675
DB00150,DB08649,0.6666666666666666
DB00150,DB03314,0.6585365853658537
DB00150,DB05475,0.6521739130434783
DB00150,DB07950,0.5945945945945946
DB00150,DB08652,0.5789473684210527
DB00150,DB02758,0.5641025641025641
DB00151,DB03201,1.0
DB00151,DB04422,0.6190476190476191
DB00151,DB03929,0.55
DB00151,DB00133,0.55
DB00151,DB00128,0.5238095238095238
DB00151,DB03847,0.5238095238095238
DB00151,DB03590,0.5238095238095238
DB00151,DB02655,0.5238095238095238
DB00151,DB04454,0.5238095238095238
DB00151,DB02345,0.5238095238095238
DB00152,DB03416,0.6666666666666666
DB00152,DB01987,0.6206896551724138
DB00152,DB02254,0.5
DB00152,DB02022,0.4883720930232558
DB00152,DB04768,0.4153846153846154
DB00152,DB02410,0.391304347826087
DB00152,DB02969,0.3404255319148936
DB00152,DB00440,0.2542372881355932
DB00152,DB11673,0.24074074074074073
DB00152,DB00165,0.23076923076923078
DB00153,DB06410,0.7666666666666667
DB00153,DB01070,0.711864406779661
DB00153,DB00169,0.6666666666666666
DB00153,DB00146,0.6363636363636364
DB00153,DB02300,0.6119402985074627
DB00153,DB04258,0.547945205479452
DB00153,DB00910,0.5454545454545454
DB00153,DB13097,0.5211267605633803
DB00153,DB01436,0.5142857142857142
DB00153,DB00136,0.4931506849315068
DB00154,DB14104,1.0
DB00154,DB04557,0.8888888888888888
DB00154,DB04257,0.8846153846153846
DB00154,DB04224,0.8846153846153846
DB00154,DB04801,0.8846153846153846
DB00154,DB00132,0.7931034482758621
DB00154,DB04746,0.7586206896551724
DB00154,DB06689,0.71875
DB00154,DB07209,0.6756756756756757
DB00154,DB00159,0.6666666666666666
DB00155,DB03953,0.7241379310344828
DB00155,DB00125,0.7241379310344828
DB00155,DB04027,0.7241379310344828
DB00155,DB03801,0.6551724137931034
DB00155,DB03305,0.6451612903225806
DB00155,DB03974,0.6451612903225806
DB00155,DB03144,0.625
DB00155,DB11815,0.6060606060606061
DB00155,DB03590,0.6
DB00155,DB02011,0.5882352941176471
DB00156,DB03700,1.0
DB00156,DB00161,0.631578947368421
DB00156,DB04538,0.6
DB00156,DB01786,0.5555555555555556
DB00156,DB00160,0.5555555555555556
DB00156,DB03640,0.55
DB00156,DB00167,0.5217391304347826
DB00156,DB03066,0.5
DB00156,DB04398,0.5
DB00156,DB04527,0.5
DB00157,DB02338,0.88
DB00157,DB01717,0.7313432835820896
DB00157,DB01690,0.7313432835820896
DB00157,DB02738,0.7
DB00157,DB00171,0.7
DB00157,DB02930,0.6901408450704225
DB00157,DB02059,0.6901408450704225
DB00157,DB16833,0.6857142857142857
DB00157,DB04071,0.6625
DB00157,DB03909,0.6486486486486487
DB00158,DB08878,0.6818181818181818
DB00158,DB02358,0.5735294117647058
DB00158,DB02015,0.5675675675675675
DB00158,DB00116,0.5466666666666666
DB00158,DB04789,0.5256410256410257
DB00158,DB02031,0.5194805194805194
DB00158,DB03256,0.5125
DB00158,DB11596,0.5125
DB00158,DB04196,0.5074626865671642
DB00158,DB00642,0.5
DB00159,DB00132,0.8518518518518519
DB00159,DB03756,0.7692307692307693
DB00159,DB04557,0.75
DB00159,DB14104,0.6666666666666666
DB00159,DB00154,0.6666666666666666
DB00159,DB04257,0.5666666666666667
DB00159,DB04801,0.5666666666666667
DB00159,DB04224,0.5666666666666667
DB00159,DB04747,0.5625
DB00159,DB07172,0.5555555555555556
DB00160,DB01786,1.0
DB00160,DB00161,0.5882352941176471
DB00160,DB02531,0.5714285714285714
DB00160,DB03700,0.5555555555555556
DB00160,DB04538,0.5555555555555556
DB00160,DB00156,0.5555555555555556
DB00160,DB04183,0.5333333333333333
DB00160,DB03066,0.5333333333333333
DB00160,DB04398,0.5333333333333333
DB00160,DB02289,0.5333333333333333
DB00161,DB00156,0.631578947368421
DB00161,DB03700,0.631578947368421
DB00161,DB04538,0.631578947368421
DB00161,DB00160,0.5882352941176471
DB00161,DB01786,0.5882352941176471
DB00161,DB00167,0.5454545454545454
DB00161,DB03640,0.5
DB00161,DB02697,0.5
DB00161,DB02531,0.47058823529411764
DB00161,DB02482,0.46153846153846156
DB00162,DB00523,0.6956521739130435
DB00162,DB00755,0.6956521739130435
DB00162,DB00982,0.6956521739130435
DB00162,DB02253,0.4727272727272727
DB00162,DB06543,0.4074074074074074
DB00162,DB00459,0.2698412698412698
DB00162,DB00926,0.2537313432835821
DB00162,DB15462,0.23170731707317074
DB00162,DB05785,0.21666666666666667
DB00162,DB11806,0.18840579710144928
DB00163,DB14002,0.6981132075471698
DB00163,DB14001,0.6379310344827587
DB00163,DB13111,0.5
DB00163,DB00197,0.38028169014084506
DB00163,DB08607,0.38028169014084506
DB00163,DB07895,0.2830188679245283
DB00163,DB01022,0.23529411764705882
DB00163,DB12647,0.22535211267605634
DB00163,DB00169,0.21794871794871795
DB00163,DB01436,0.21518987341772153
DB00165,DB11673,0.7586206896551724
DB00165,DB02209,0.6111111111111112
DB00165,DB00147,0.5757575757575758
DB00165,DB16554,0.5581395348837209
DB00165,DB02142,0.43902439024390244
DB00165,DB02022,0.4117647058823529
DB00165,DB03327,0.375
DB00165,DB02824,0.375
DB00165,DB00114,0.37209302325581395
DB00165,DB04241,0.3673469387755102
DB00166,DB12795,0.574468085106383
DB00166,DB07645,0.39285714285714285
DB00166,DB00548,0.39285714285714285
DB00166,DB01856,0.39285714285714285
DB00166,DB03553,0.35714285714285715
DB00166,DB00121,0.35555555555555557
DB00166,DB04650,0.35555555555555557
DB00166,DB04781,0.3548387096774194
DB00166,DB03112,0.34782608695652173
DB00166,DB03704,0.34375
DB00167,DB00161,0.5454545454545454
DB00167,DB04454,0.5217391304347826
DB00167,DB00156,0.5217391304347826
DB00167,DB04538,0.5217391304347826
DB00167,DB03700,0.5217391304347826
DB00167,DB03741,0.4782608695652174
DB00167,DB00160,0.47619047619047616
DB00167,DB01786,0.47619047619047616
DB00167,DB02482,0.4482758620689655
DB00167,DB04185,0.4230769230769231
DB00168,DB06838,0.6
DB00168,DB02307,0.46296296296296297
DB00168,DB04058,0.45454545454545453
DB00168,DB01871,0.45098039215686275
DB00168,DB01255,0.45098039215686275
DB00168,DB08506,0.4444444444444444
DB00168,DB03424,0.4423076923076923
DB00168,DB02556,0.43902439024390244
DB00168,DB00120,0.43902439024390244
DB00168,DB02558,0.43137254901960786
DB00169,DB00146,0.8166666666666667
DB00169,DB01436,0.7833333333333333
DB00169,DB00153,0.6666666666666666
DB00169,DB00136,0.6417910447761194
DB00169,DB13097,0.6029411764705882
